Indicator,Indicator Type,Partner,Product categories,Reporter,year,amount
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2018,41355.76
Trade (US$ Mil)-Top 5 Import Partner,Import,United States of America,All Products,Australia,2018,24664.66
Trade (US$ Mil)-Top 5 Export Partner,Export,Sounth Korea,All Products,Australia,2018,17745.6
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2018,17351.1
Trade (US$ Mil)-Top 5 Export Partner,Export,India,All Products,Australia,2018,12369.31
Trade (US$ Mil)-Top 5 Import Partner,Import,Thailand,All Products,Australia,2018,11523.93
Trade (US$ Mil)-Top 5 Export Partner,Export,United States of America,All Products,Australia,2018,9552.81
Trade (US$ Mil)-Top 5 Import Partner,Import,Sounth Korea,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,2018,0
