Indicator,Indicator Type,Partner,Product categories,Reporter,year,amount
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2011,52088.08
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2012,49680.33
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2014,43135.79
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2008,42731.58
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2018,41355.76
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2010,40088.03
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2013,31251.83
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2009,30014.17
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2015,29826.96
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2012,29386.82
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2007,26801.2
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2011,26797.97
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2016,26344.51
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2018,24664.66
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2006,24446.82
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2008,24256.28
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2014,24148.86
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2011,24008.84
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2017,24008.42
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2013,23820.3
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2017,23613.22
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2010,22561.96
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2015,22560.99
Trade (US$ Mil)-Top 5 Export Partner,Export,Japan,All Products,Australia,2005,21703.96
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2016,21703.31
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2007,21252.49
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2012,20540.98
Trade (US$ Mil)-Top 5 Import Partner,Import,Japan,All Products,Australia,2012,19712.94
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2006,19664.1
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,2010,18829.45
Trade (US$ Mil)-Top 5 Import Partner,Import,United States,All Products,Australia,2009,18669.86
